"user_305","movie_451","rated",9,3,0.6000
"user_50","movie_246","rated",31,3,0.6000
"user_301","movie_98","rated",32,4,0.8000
"user_276","movie_796","rated",39,1,0.2000
"user_276","movie_564","rated",44,3,0.6000
"user_287","movie_327","rated",45,5,1.0000
"user_81","movie_432","rated",52,2,0.4000
"user_293","movie_5","rated",79,3,0.6000
"user_276","movie_54","rated",84,3,0.6000
"user_267","movie_518","rated",87,5,1.0000
"user_135","movie_23","rated",100,4,0.8000
"user_293","movie_685","rated",104,3,0.6000
"user_216","movie_144","rated",105,4,0.8000
"user_198","movie_498","rated",111,3,0.6000
"user_128","movie_485","rated",122,3,0.6000
"user_293","movie_471","rated",134,3,0.6000
"user_216","movie_658","rated",135,3,0.6000
"user_305","movie_427","rated",148,5,1.0000
"user_259","movie_117","rated",160,4,0.8000
"user_49","movie_559","rated",166,2,0.4000
"user_268","movie_231","rated",172,4,0.8000
"user_305","movie_117","rated",174,2,0.4000
"user_66","movie_298","rated",182,4,0.8000
"user_268","movie_1035","rated",184,2,0.4000
"user_276","movie_322","rated",193,3,0.6000
"user_293","movie_1267","rated",198,3,0.6000
"user_1","movie_61","rated",203,4,0.8000
"user_259","movie_255","rated",215,4,0.8000
"user_305","movie_471","rated",216,4,0.8000
"user_54","movie_106","rated",233,3,0.6000
"user_16","movie_944","rated",235,1,0.2000
"user_301","movie_790","rated",236,4,0.8000
"user_276","movie_1091","rated",237,3,0.6000
"user_305","movie_214","rated",238,2,0.4000
"user_301","movie_401","rated",251,4,0.8000
"user_268","movie_930","rated",264,2,0.4000
"user_268","movie_2","rated",265,2,0.4000
"user_66","movie_258","rated",266,4,0.8000
"user_268","movie_145","rated",272,1,0.2000
"user_301","movie_56","rated",273,4,0.8000
"user_301","movie_79","rated",302,5,1.0000
"user_1","movie_189","rated",306,3,0.6000
"user_33","movie_872","rated",312,3,0.6000
"user_301","movie_554","rated",313,3,0.6000
"user_16","movie_64","rated",314,5,1.0000
"user_16","movie_705","rated",323,5,1.0000
"user_128","movie_204","rated",331,4,0.8000
"user_1","movie_33","rated",334,4,0.8000
"user_1","movie_160","rated",335,4,0.8000
"user_54","movie_595","rated",337,3,0.6000
"user_128","movie_508","rated",339,4,0.8000
"user_301","movie_227","rated",341,3,0.6000
"user_301","movie_191","rated",342,3,0.6000
"user_69","movie_256","rated",351,5,1.0000
"user_276","movie_2","rated",353,4,0.8000
"user_267","movie_410","rated",356,4,0.8000
"user_240","movie_879","rated",358,3,0.6000
"user_16","movie_197","rated",369,5,1.0000
"user_305","movie_425","rated",383,4,0.8000
"user_49","movie_959","rated",384,2,0.4000
"user_268","movie_62","rated",400,3,0.6000
"user_180","movie_462","rated",405,5,1.0000
"user_301","movie_604","rated",430,4,0.8000
"user_268","movie_436","rated",434,3,0.6000
"user_293","movie_135","rated",435,5,1.0000
"user_128","movie_15","rated",446,4,0.8000
"user_287","movie_1","rated",455,5,1.0000
"user_216","movie_228","rated",456,3,0.6000
"user_216","movie_531","rated",457,4,0.8000
"user_1","movie_20","rated",479,4,0.8000
"user_293","movie_770","rated",485,3,0.6000
"user_73","movie_480","rated",493,4,0.8000
"user_54","movie_742","rated",513,5,1.0000
"user_128","movie_371","rated",529,1,0.2000
"user_276","movie_922","rated",538,4,0.8000
"user_276","movie_57","rated",539,3,0.6000
"user_293","movie_249","rated",543,3,0.6000
"user_276","movie_142","rated",547,3,0.6000
"user_268","movie_824","rated",551,2,0.4000
"user_198","movie_58","rated",553,3,0.6000
"user_128","movie_603","rated",560,5,1.0000
"user_305","movie_71","rated",565,3,0.6000
"user_301","movie_33","rated",572,4,0.8000
"user_276","movie_40","rated",583,3,0.6000
"user_217","movie_597","rated",587,4,0.8000
"user_75","movie_284","rated",591,2,0.4000
"user_245","movie_1028","rated",601,5,1.0000
"user_69","movie_240","rated",606,3,0.6000
"user_282","movie_325","rated",616,1,0.2000
"user_118","movie_200","rated",618,5,1.0000
"user_245","movie_181","rated",623,4,0.8000
"user_276","movie_70","rated",627,4,0.8000
"user_276","movie_417","rated",632,4,0.8000
"user_1","movie_202","rated",640,5,1.0000
"user_276","movie_188","rated",684,4,0.8000
"user_1","movie_171","rated",688,5,1.0000
"user_49","movie_302","rated",703,4,0.8000
"user_268","movie_147","rated",710,4,0.8000
